name, link, country, description
BRO, https://www.broloket.nl/ondergrondgegevens, the Netherlands, TNO on behalf of the dutch government provides various datasets related to soil via this portal
eBod, https://bodenkarte.at/, Austria, Soil portal of Austria
KOGIS, https://www.geo.admin.ch/boden, Switzerland, Switserland presents various geological and soil themes in this portal
Grundvand, http://miljoegis.mim.dk/spatialmap?profile=grundvand, denmark, A series of soil related maps
Soil map,http://www.issapp-pushkarov.org/,Bulgaria, Soil institute of Bulgaria makes available the national soil map
ENVI atlas,http://envi.azo.hr/?topic=3,Croatia,map portal with various soil related themes
INSPIRE Geoportal,https://inspire-geoportal.ec.europa.eu/,europe,A portal which collects environmental data in the scope of INSPIRE directive from memberstates
EEA data portal,https://eeaonline.eea.state.ma.us/Portal, europe,A portal for envirnmental data
ESDAC, https://esdac.jrc.ec.europa.eu/resource-type/datasets, europe,
Eurostat, https://ec.europa.eu/eurostat/data/database, europe,
Europian data portal, https://data.europa.eu, europe ,
Bonares, https://www.bonares.de/webportal, Germany, 
SoilBioStore, https://soilbiostore.au.dk/,Denmark, A database with soil Collembola and earthworm data
portal.edaphobase.org large soil invetebrate database covering Germany and a growing part of Europe. Mapping and metadata facilities.
